Date      ,APF NO    ,APF Name                                                                                            ,No.of Bales,Qty Sold      ,Avg Price     
14-03-2022,20,Ongole - I                                                                                          ,18,2253.7,185
15-03-2022,20,Ongole - I                                                                                          ,36,4734.7,185
14-03-2022,22,Podili - I                                                                                          ,27,3586.9,185
15-03-2022,22,Podili - I                                                                                          ,49,6503.3,185
14-03-2022,25,Kondepi                                                                                             ,17,2231.8,185
15-03-2022,25,Kondepi                                                                                             ,36,4806.7,184.31
14-03-2022,26,Kandukur - I                                                                                        ,18,2504.4,185
15-03-2022,26,Kandukur - I                                                                                        ,18,2506.2,185
14-03-2022,27,Kandukur - II                                                                                       ,18,2107.7,185
15-03-2022,27,Kandukur - II                                                                                       ,27,3279.4,185
14-03-2022,29,D.C. Palli                                                                                          ,18,2447.8,185
15-03-2022,29,D.C. Palli                                                                                          ,125,16189.2,184.04
14-03-2022,31,Vellampally-II                                                                                      ,18,2374.8,185
15-03-2022,31,Vellampally-II                                                                                      ,50,6845.9,185
